dataset,isConfocal,voxelResolution,wallStride,seconds,filters
bunny_d=0.5_l=[1x1]_s=[256x256].mat,0,32,8,116.1243671,raw/log
bunny_d=0.5_c=[256x256].mat,1,32,8,109.6731892,raw/log
